icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,extraction_time,data_source,flight_type
a41ee6,N365AG,United States,1752335405.0,1752335405,-83.5336,39.4264,12192.0,False,236.94,184.73,0.0,,12862.56,7444.0,False,0,2025-07-12T15:50:12.645690,api,real_time
511162,RAM1642,Estonia,1752335405.0,1752335405,-5.1184,38.3896,10980.42,False,239.05,19.88,0.0,,11567.16,6456.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a4c54a,N4060G,United States,1752335405.0,1752335406,-115.2104,36.2089,975.36,False,40.85,319.09,2.28,,975.36,,False,0,2025-07-12T15:50:12.645690,api,real_time
511163,RAM8694,Estonia,1752335405.0,1752335405,5.1509,45.7974,11582.4,False,240.96,30.4,0.33,,12009.12,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801616,IGO876,India,1752335405.0,1752335405,77.6093,13.8852,10774.68,False,230.55,29.25,4.55,,11399.52,,False,0,2025-07-12T15:50:12.645690,api,real_time
abacb6,SCX8929,United States,1752335405.0,1752335405,-82.9989,40.135,2293.62,False,144.98,124.59,-7.48,,2407.92,7022.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801621,IGO295V,India,1752335405.0,1752335405,77.6578,27.9474,5715.0,False,190.98,157.51,4.88,,5989.32,,False,0,2025-07-12T15:50:12.645690,api,real_time
a1befc,UAL1493,United States,1752335402.0,1752335403,-107.1245,39.6907,10370.82,False,253.55,261.95,0.65,,10904.22,1452.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801622,IGO5233,India,1752335403.0,1752335405,75.258,26.6894,11277.6,False,236.44,15.91,0.0,,12077.7,,False,0,2025-07-12T15:50:12.645690,api,real_time
a4b228,UPS5771,United States,1752335405.0,1752335405,-86.1453,38.1316,1958.34,False,152.92,47.45,-3.58,,2042.16,2212.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a2356b,N241TM,United States,1752335405.0,1752335405,-75.9608,39.1822,2095.5,False,84.25,81.57,0.0,,2209.8,504.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ad5623,AAL1140,United States,1752335367.0,1752335367,-80.0225,32.8791,60.96,False,80.49,327.53,-3.58,,83.82,5740.0,False,0,2025-07-12T15:50:12.645690,api,real_time
80161a,IGO671,India,1752335363.0,1752335403,74.0557,17.3671,5715.0,False,182.56,352.71,-7.15,,5958.84,,False,0,2025-07-12T15:50:12.645690,api,real_time
801627,AXB1130,India,1752335212.0,1752335212,77.1047,28.5441,,True,7.2,284.06,,,,,False,0,2025-07-12T15:50:12.645690,api,real_time
a6aec0,N53GX,United States,1752335326.0,1752335328,27.8819,-25.9795,1554.48,False,71.43,19.35,-7.15,,1699.26,473.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801626,AXB1207,India,1752335405.0,1752335405,76.3871,10.5356,4556.76,False,192.03,28.83,8.45,,4724.4,,False,0,2025-07-12T15:50:12.645690,api,real_time
a0e250,AAL895,United States,1752335359.0,1752335361,-86.865,21.0364,,True,0.0,213.75,,,,7122.0,False,0,2025-07-12T15:50:12.645690,api,real_time
39de46,TVF97NG,France,1752335405.0,1752335405,-3.3756,38.8413,11879.58,False,223.35,201.48,-0.33,,12443.46,7634.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ab299c,N8181N,United States,1752335405.0,1752335406,-71.4716,42.7673,1478.28,False,54.54,64.89,-0.33,,1562.1,,False,0,2025-07-12T15:50:12.645690,api,real_time
39de45,TVF33SN,France,1752335405.0,1752335405,0.047,46.2312,10995.66,False,234.11,29.78,-2.28,,11422.38,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
407a05,EZY89RG,United Kingdom,1752335405.0,1752335405,12.7809,45.7742,11277.6,False,255.96,130.03,0.33,,11658.6,7311.0,False,0,2025-07-12T15:50:12.645690,api,real_time
407a03,GCLYM,United Kingdom,1752335405.0,1752335405,-1.6841,51.4728,1417.32,False,46.66,145.78,-0.33,,1539.24,7000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
39de47,TVF4454,France,1752335405.0,1752335405,15.746,43.9658,11894.82,False,251.87,128.53,-0.33,,12359.64,672.0,False,0,2025-07-12T15:50:12.645690,api,real_time
407a06,EZY59DK,United Kingdom,1752335402.0,1752335405,20.5787,39.5273,11277.6,False,244.48,149.39,0.33,,11902.44,,False,0,2025-07-12T15:50:12.645690,api,real_time
80161d,AKJ113V,India,1752335405.0,1752335405,89.4605,24.9409,11894.82,False,232.75,57.36,0.0,,12710.16,2711.0,False,0,2025-07-12T15:50:12.645690,api,real_time
39de40,TVF66QR,France,1752335405.0,1752335405,12.6818,44.5323,11590.02,False,202.99,293.45,0.0,,12024.36,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
39de43,TVF77XZ,France,1752335167.0,1752335180,2.3064,48.7163,175.26,False,73.66,61.65,-3.58,,220.98,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
80166c,AIC2015,India,1752335405.0,1752335406,18.9557,48.5571,12184.38,False,247.09,296.46,-0.33,,12534.9,5431.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ac498c,FDX9008,United States,1752335403.0,1752335403,55.4377,23.3371,8968.74,False,261.9,163.45,2.6,,9585.96,560.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ab0356,ASA789,United States,1752335405.0,1752335405,-123.3631,37.1722,5981.7,False,204.23,229.09,6.18,,6339.84,3663.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a2228b,ASA1226,United States,1752335405.0,1752335405,-122.2892,37.4561,3398.52,False,157.46,157.12,-6.83,,3581.4,2640.0,False,0,2025-07-12T15:50:12.645690,api,real_time
511188,MBU5KZ,Estonia,1752335405.0,1752335405,-3.7841,44.9278,11277.6,False,232.34,222.31,0.33,,11719.56,1113.0,False,0,2025-07-12T15:50:12.645690,api,real_time
511189,MBU9PN,Estonia,1752335405.0,1752335405,10.7005,49.5357,3070.86,False,141.0,278.6,13.66,,3177.54,6672.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4acb03,NSZ75Z,Sweden,1752335405.0,1752335405,-7.3804,40.2517,11277.6,False,244.24,184.95,0.0,,11833.86,1152.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801685,AXB1676,India,1752335256.0,1752335256,77.7603,13.1891,1089.66,False,72.54,270.41,-3.58,,1036.32,,False,0,2025-07-12T15:50:12.645690,api,real_time
4acb04,NSZ2124,Sweden,1752335405.0,1752335405,23.5631,56.4895,4648.2,False,193.31,210.73,13.0,,4792.98,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
acccc6,N9238G,United States,1752335405.0,1752335405,-84.7406,33.283,411.48,False,42.3,318.95,-0.33,,449.58,1200.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a6f0fd,N5463F,United States,1752335405.0,1752335405,-85.5759,32.1508,1752.6,False,90.05,186.23,-0.33,,1859.28,,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8c8,PGT4UW,Turkey,1752335404.0,1752335404,29.1129,39.393,9144.0,False,217.27,204.93,0.33,,9723.12,,False,0,2025-07-12T15:50:12.645690,api,real_time
aae33a,XACAV,United States,1752335405.0,1752335405,-98.1827,18.1265,10668.0,False,222.95,128.54,0.33,,11338.56,,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8c9,PGT6WL,Turkey,1752335102.0,1752335137,29.2769,40.8754,213.36,False,63.73,63.64,-2.93,,266.7,450.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8c6,PGT26PA,Turkey,1752335229.0,1752335237,29.27,40.8728,243.84,False,59.13,63.66,-2.6,,297.18,5401.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8c4,PGT8JF,Turkey,1752335405.0,1752335405,28.2646,40.7588,4373.88,False,171.25,151.66,-7.48,,4640.58,6431.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8c3,PGT6SD,Turkey,1752335402.0,1752335405,22.6915,45.3062,37398.96,True,247.6,145.15,0.0,,,1732.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801680,AXB2959,India,1752335322.0,1752335322,76.2575,11.3229,6926.58,False,212.42,164.55,-11.7,,7528.56,,False,0,2025-07-12T15:50:12.645690,api,real_time
c02298,SPR812,Canada,1752335405.0,1752335405,-60.3949,45.9928,1889.76,False,130.21,68.2,-6.83,,2004.06,,False,0,2025-07-12T15:50:12.645690,api,real_time
abf008,SWA1597,United States,1752335405.0,1752335405,-70.9464,42.4857,647.7,False,93.4,199.63,-4.23,,708.66,542.0,False,0,2025-07-12T15:50:12.645690,api,real_time
511172,MBU6CQ,Estonia,1752335405.0,1752335405,-7.5538,36.9201,10972.8,False,262.76,49.61,0.0,,11590.02,6263.0,False,0,2025-07-12T15:50:12.645690,api,real_time
511170,MBU2AT,Estonia,1752335405.0,1752335405,3.3694,44.4042,11590.02,False,252.66,66.1,0.33,,12039.6,3376.0,False,0,2025-07-12T15:50:12.645690,api,real_time
e80268,LPE2464,Chile,1752335398.0,1752335398,-60.23,-32.1738,10965.18,False,220.75,329.31,0.0,,11338.56,302.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a3426d,SFE1,United States,1752335405.0,1752335405,-97.7329,30.2791,236.22,False,22.32,154.03,-3.25,,251.46,271.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ad563d,TYSON51,United States,1752335405.0,1752335405,-96.036,28.5044,11277.6,False,236.9,41.48,0.0,,11925.3,,False,0,2025-07-12T15:50:12.645690,api,real_time
3d23b9,DELTX,Germany,1752335405.0,1752335405,10.114,54.1744,335.28,False,41.75,356.47,-0.33,,373.38,7000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801699,AXB1560,India,1752335405.0,1752335405,87.4881,23.4389,6537.96,False,193.81,122.42,-9.43,,6903.72,216.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a007bd,N1005B,United States,1752335405.0,1752335405,-123.4619,44.1221,1767.84,False,78.91,26.73,0.33,,1866.9,,False,0,2025-07-12T15:50:12.645690,api,real_time
ac234a,GPD152,United States,1752335405.0,1752335405,-65.8973,18.4709,1280.16,False,75.83,106.96,7.48,,1371.6,,False,0,2025-07-12T15:50:12.645690,api,real_time
80164b,IGO1231,India,1752335405.0,1752335405,77.1235,28.5379,609.6,False,103.82,104.93,3.9,,480.06,,False,0,2025-07-12T15:50:12.645690,api,real_time
3d6c57,DFNGX,Germany,1752335404.0,1752335405,23.9746,38.0511,2400.3,False,79.25,289.73,5.2,,2560.32,,False,0,2025-07-12T15:50:12.645690,api,real_time
e8025f,LPE2306,Chile,1752335405.0,1752335405,-80.0005,-7.0866,10439.4,False,226.39,333.26,-11.05,,11193.78,,False,0,2025-07-12T15:50:12.645690,api,real_time
a2226b,GAQV,United States,1752335405.0,1752335405,-122.07,49.1405,822.96,False,52.0,92.27,-0.65,,899.16,5564.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a963f7,FFT205,United States,1752335405.0,1752335405,-107.4392,32.4983,10972.8,False,237.4,189.61,0.0,,11620.5,3756.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4031ce,GBSLT,United Kingdom,1752335214.0,1752335214,-3.3871,56.4375,121.92,False,29.34,87.99,-2.6,,327.66,,False,0,2025-07-12T15:50:12.645690,api,real_time
accccd,N9238P,United States,1752335405.0,1752335405,-120.678,38.1784,701.04,False,60.82,321.87,3.9,,693.42,,False,0,2025-07-12T15:50:12.645690,api,real_time
ac101f,SWA336,United States,1752335404.0,1752335405,-102.8957,35.7761,10668.0,False,250.22,114.67,0.0,,11231.88,,False,0,2025-07-12T15:50:12.645690,api,real_time
478891,BNOK,Norway,1752335405.0,1752335405,20.8998,69.8655,5806.44,False,140.49,268.53,-10.08,,6012.18,,False,0,2025-07-12T15:50:12.645690,api,real_time
471efa,WZZ829,Hungary,1752335405.0,1752335405,19.7808,50.075,,True,5.4,182.81,,,,3705.0,False,0,2025-07-12T15:50:12.645690,api,real_time
47b217,NBT31D,Norway,1752335405.0,1752335405,-3.1546,52.2693,9753.6,False,252.18,300.12,-0.33,,10172.7,7560.0,False,0,2025-07-12T15:50:12.645690,api,real_time
471efb,WMT3442,Hungary,1752335402.0,1752335404,16.2041,41.9149,10965.18,False,212.59,296.13,0.0,,11468.1,,False,0,2025-07-12T15:50:12.645690,api,real_time
471eff,WZZ6620,Hungary,1752335405.0,1752335405,3.3526,49.1764,10980.42,False,232.58,310.07,0.0,,11361.42,1130.0,False,0,2025-07-12T15:50:12.645690,api,real_time
471efd,WZZ6262,Hungary,1752335405.0,1752335405,10.6939,51.5589,11285.22,False,237.77,95.59,-0.33,,11551.92,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801663,IGO6271,India,1752335405.0,1752335405,74.1905,17.05,9486.9,False,239.02,202.26,-12.03,,10073.64,,False,0,2025-07-12T15:50:12.645690,api,real_time
801661,IGO6AU,India,1752335404.0,1752335404,79.897,27.0973,4914.9,False,160.98,122.47,-6.18,,5135.88,,False,0,2025-07-12T15:50:12.645690,api,real_time
801662,IGO6317,India,1752335332.0,1752335353,86.0022,26.4067,10972.8,False,241.81,279.92,0.0,,11734.8,2616.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ac3688,SWA1637,United States,1752335403.0,1752335404,-89.934,31.7428,10972.8,False,237.5,258.25,0.0,,11635.74,1435.0,False,0,2025-07-12T15:50:12.645690,api,real_time
accce6,N9239D,United States,1752335405.0,1752335405,-83.924,38.2452,3322.32,False,82.31,359.64,0.0,,3474.72,6043.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a61838,N492HC,United States,1752335405.0,1752335405,-95.1319,30.0675,198.12,False,55.66,261.5,-0.33,,220.98,,False,0,2025-07-12T15:50:12.645690,api,real_time
a34268,SKW4072,United States,1752335204.0,1752335204,-111.9812,40.7926,,True,10.29,264.38,,,,,False,0,2025-07-12T15:50:12.645690,api,real_time
44029f,AUA417,Austria,1752335405.0,1752335405,13.4459,48.6647,11521.44,False,202.6,285.77,3.9,,11826.24,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
adecb6,DAL1294,United States,1752335405.0,1752335405,-89.6812,35.2151,3451.86,False,191.32,17.85,8.45,,3665.22,,False,0,2025-07-12T15:50:12.645690,api,real_time
aae377,SKW3978,United States,1752335405.0,1752335405,-92.579,44.4049,6530.34,False,213.49,130.41,9.43,,6736.08,2416.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3932ee,FGMXO,France,1752335392.0,1752335398,2.2478,48.3661,624.84,False,57.62,90.51,0.33,,685.8,,False,0,2025-07-12T15:50:12.645690,api,real_time
ac1042,SWA1977,United States,1752335146.0,1752335328,-86.1807,23.9463,10058.4,False,243.59,19.62,0.0,,10668.0,6114.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801674,AIC2665,India,1752335405.0,1752335405,77.4462,25.8239,10972.8,False,228.52,9.59,0.0,,11727.18,,False,0,2025-07-12T15:50:12.645690,api,real_time
801672,AIC2522,India,1752335405.0,1752335405,76.8744,28.7301,2506.98,False,109.35,287.24,-5.2,,2537.46,,False,0,2025-07-12T15:50:12.645690,api,real_time
3442c2,ANE79GL,Spain,1752335405.0,1752335405,-3.172,36.032,3954.78,False,113.18,354.52,3.9,,4191.0,,False,0,2025-07-12T15:50:12.645690,api,real_time
801673,AXB273,India,1752335401.0,1752335403,49.5822,27.4548,12192.0,False,238.38,310.19,0.0,,13053.06,,False,0,2025-07-12T15:50:12.645690,api,real_time
abf025,SWA2818,United States,1752335405.0,1752335405,-86.6408,36.1811,403.86,False,79.25,189.34,-3.9,,441.96,2264.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a47560,N387AW,United States,1752335405.0,1752335405,-114.0483,36.0702,2880.36,False,72.75,100.59,-2.6,,3009.9,,False,0,2025-07-12T15:50:12.645690,api,real_time
a53ee2,UAL275,United States,1752335405.0,1752335405,-103.1011,44.1026,1249.68,False,75.71,152.04,-4.23,,1303.02,3175.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a4c527,RPA4770,United States,1752335405.0,1752335405,-81.9357,43.1923,8839.2,False,246.68,76.37,0.0,,9288.78,5020.0,False,0,2025-07-12T15:50:12.645690,api,real_time
505f15,TOM1JV,Slovakia,1752335405.0,1752335405,14.7311,46.4865,11277.6,False,253.36,132.86,-0.33,,11605.26,4715.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a2359f,N241VP,United States,1752335405.0,1752335405,-101.8093,43.4023,3749.04,False,86.02,59.45,0.0,,3901.44,,False,0,2025-07-12T15:50:12.645690,api,real_time
ac21e4,DAL2022,United States,1752335404.0,1752335405,-111.9763,40.8017,1234.44,False,50.63,174.75,0.0,,1280.16,,False,0,2025-07-12T15:50:12.645690,api,real_time
adda1e,AAL336,United States,1752335405.0,1752335405,-99.1004,33.3316,8534.4,False,221.1,290.71,0.33,,9029.7,,False,0,2025-07-12T15:50:12.645690,api,real_time
4acb45,SAS7356,Sweden,1752335405.0,1752335405,19.5302,66.2071,11590.02,False,219.23,351.09,0.0,,12062.46,2232.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4acb44,SAS52A,Sweden,1752335405.0,1752335405,12.1236,59.676,11582.4,False,229.97,169.82,0.0,,12031.98,3513.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a9fbb6,N742TW,United States,1752335405.0,1752335405,-112.2528,40.7276,1859.28,False,51.75,127.33,0.0,,1958.34,1200.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a7bbe9,JBU1497,United States,1752335405.0,1752335405,-103.0375,40.3534,7924.8,False,200.13,255.71,0.0,,8351.52,,False,0,2025-07-12T15:50:12.645690,api,real_time
adda24,AAL573,United States,1752335405.0,1752335405,-80.9708,35.2646,403.86,False,77.85,176.21,-3.9,,441.96,3516.0,False,0,2025-07-12T15:50:12.645690,api,real_time
adda23,DAL3030,United States,1752335405.0,1752335405,-84.4108,33.6358,,True,0.06,90.0,,,,,False,0,2025-07-12T15:50:12.645690,api,real_time
4c1e73,YUHTT,Serbia,1752335297.0,1752335298,20.3066,44.8724,129.54,False,45.48,313.63,-2.93,,190.5,5017.0,False,0,2025-07-12T15:50:12.645690,api,real_time
accd69,DAL2696,United States,1752335405.0,1752335405,-89.6704,42.1563,7620.0,False,244.18,157.97,0.0,,7970.52,7034.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3455d7,VOE2251,Spain,1752335405.0,1752335405,9.512,41.2359,11582.4,False,205.0,252.47,0.33,,12108.18,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
e8020e,LPE2382,Chile,1752335404.0,1752335405,-78.2801,-7.7964,9761.22,False,245.92,359.28,0.33,,10439.4,,False,0,2025-07-12T15:50:12.645690,api,real_time
470bc8,FCA3MA,Hungary,1752335405.0,1752335406,1.34,50.8797,4701.54,False,157.22,339.9,-5.2,,4922.52,646.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4acb59,SAS54E,Sweden,1752335405.0,1752335405,8.0069,58.0321,1866.9,False,165.81,185.16,8.45,,2004.06,762.0,False,0,2025-07-12T15:50:12.645690,api,real_time
e0b298,SAETTAM,Argentina,1752335405.0,1752335405,-60.6823,-32.9936,1356.36,False,47.96,157.29,1.3,,1501.14,,False,0,2025-07-12T15:50:12.645690,api,real_time
440250,OEALK,Austria,1752335405.0,1752335405,10.5006,47.5051,2240.28,False,35.4,234.46,1.95,,2346.96,7000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
accd5b,N924DK,United States,1752335405.0,1752335405,-89.0364,35.4992,2697.48,False,95.32,45.87,0.0,,2857.5,,False,0,2025-07-12T15:50:12.645690,api,real_time
44023f,EJU75UZ,Austria,1752335404.0,1752335405,2.7686,48.116,6248.4,False,205.02,166.8,9.43,,6522.72,,False,0,2025-07-12T15:50:12.645690,api,real_time
80168c,IGO1017,India,1752335402.0,1752335403,86.7295,19.3612,7833.36,False,217.17,135.29,9.43,,8282.94,456.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3c5ee5,EWG94B,Germany,1752335405.0,1752335405,2.9811,48.8859,11254.74,False,233.12,198.39,-0.33,,11635.74,1120.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3c5ee9,EWG7V,Germany,1752335405.0,1752335405,11.0996,51.6611,10751.82,False,248.29,157.85,3.9,,10957.56,601.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3ffc7d,DMBZM,Germany,1752335258.0,1752335258,8.6042,49.66,381.0,False,33.1,32.95,-2.28,,434.34,7000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8cd,PGT7FE,Turkey,1752335402.0,1752335403,28.8357,38.9527,9144.0,False,220.75,203.34,0.0,,9730.74,1732.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8cb,PGT2TF,Turkey,1752335405.0,1752335406,23.5604,42.9705,10668.0,False,257.05,115.23,0.0,,11170.92,6004.0,False,0,2025-07-12T15:50:12.645690,api,real_time
4bc8cc,PGT9GA,Turkey,1752335405.0,1752335405,9.5908,51.5765,10050.78,False,234.09,103.21,0.33,,10294.62,166.0,False,0,2025-07-12T15:50:12.645690,api,real_time
e8021f,ARE4234,Chile,1752335403.0,1752335403,-74.988,5.058,7254.24,False,228.7,295.87,0.65,,7741.92,,False,0,2025-07-12T15:50:12.645690,api,real_time
aded77,JBU1902,United States,1752335405.0,1752335405,-81.3455,29.6606,10675.62,False,239.02,357.04,0.0,,11323.32,770.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3c5ee2,EWG9WP,Germany,1752335405.0,1752335405,8.2588,47.1858,10972.8,False,237.37,32.07,0.33,,11323.32,5526.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ad41cd,SWA1731,United States,1752335405.0,1752335405,-96.1926,32.7444,10972.8,False,243.0,280.12,0.0,,11597.64,5111.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3c5ee1,EWG49C,Germany,1752335405.0,1752335405,-4.698,36.6614,3200.4,False,146.76,137.7,-5.2,,3390.9,1116.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3c5ef8,EWG4BV,Germany,1752335405.0,1752335405,3.9001,41.5447,11902.44,False,213.96,199.52,0.33,,12374.88,2534.0,False,0,2025-07-12T15:50:12.645690,api,real_time
