flight_number,airline,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,aircraft_type,status,gate,extraction_date,data_source,flight_type,flight_duration_minutes
TD5016,TD,ENU,BJR,2025-07-12 09:30:00,2025-07-12 13:15:00,A320,Cancelled,B21,2025-07-12,schedule,scheduled,225.0
JU5511,JU,ERH,SFO,2025-07-12 07:15:00,2025-07-12 09:45:00,A350,Cancelled,D27,2025-07-12,schedule,scheduled,150.0
UU228,UU,ADL,EJA,2025-07-12 09:45:00,2025-07-12 11:30:00,B787,Delayed,B32,2025-07-12,schedule,scheduled,105.0
AA1158,AA,OUD,JUJ,2025-07-12 19:30:00,2025-07-13 00:30:00,B787,On Time,A17,2025-07-12,schedule,scheduled,300.0
TT2751,TT,LIS,TTT,2025-07-12 14:30:00,2025-07-12 19:00:00,B777,Delayed,C3,2025-07-12,schedule,scheduled,270.0
BL9930,BL,GNI,TZX,2025-07-12 12:45:00,2025-07-12 14:00:00,B787,Cancelled,C41,2025-07-12,schedule,scheduled,75.0
WN2406,WN,MLX,ESB,2025-07-12 22:30:00,2025-07-13 04:45:00,B787,Delayed,D4,2025-07-12,schedule,scheduled,375.0
B65076,B6,YEG,BRC,2025-07-12 22:30:00,2025-07-13 00:15:00,B777,Cancelled,C40,2025-07-12,schedule,scheduled,105.0
UA3842,UA,JOS,MDE,2025-07-12 06:30:00,2025-07-12 09:30:00,B777,Delayed,D32,2025-07-12,schedule,scheduled,180.0
TS8096,TS,MTZ,ETM,2025-07-12 08:45:00,2025-07-12 12:00:00,A350,Cancelled,C27,2025-07-12,schedule,scheduled,195.0
U26024,U2,BJR,MUC,2025-07-13 00:45:00,2025-07-13 01:45:00,A320,On Time,A50,2025-07-12,schedule,scheduled,60.0
HC6050,HC,CDG,CZM,2025-07-12 12:45:00,2025-07-12 14:30:00,A350,On Time,B15,2025-07-12,schedule,scheduled,105.0
OZ5452,OZ,TAE,AUH,2025-07-12 11:30:00,2025-07-12 12:45:00,B737,Delayed,C15,2025-07-12,schedule,scheduled,75.0
SB3719,SB,TAE,SSA,2025-07-12 18:30:00,2025-07-12 23:00:00,B737,Scheduled,D48,2025-07-12,schedule,scheduled,270.0
WF4141,WF,LSC,SHC,2025-07-12 22:45:00,2025-07-12 23:45:00,A320,Scheduled,C37,2025-07-12,schedule,scheduled,60.0
FJ1228,FJ,ASW,TRU,2025-07-12 08:00:00,2025-07-12 09:45:00,A350,Delayed,B11,2025-07-12,schedule,scheduled,105.0
OZ4084,OZ,EBL,MZG,2025-07-12 08:45:00,2025-07-12 12:15:00,B787,On Time,D20,2025-07-12,schedule,scheduled,210.0
ZX9444,ZX,MLX,CTG,2025-07-12 09:30:00,2025-07-12 16:15:00,B737,Delayed,B1,2025-07-12,schedule,scheduled,405.0
NK8642,NK,CJC,NRT,2025-07-12 09:45:00,2025-07-12 15:30:00,B787,Delayed,C12,2025-07-12,schedule,scheduled,345.0
AC7818,AC,SAW,HBA,2025-07-12 21:15:00,2025-07-13 03:45:00,B737,Cancelled,B25,2025-07-12,schedule,scheduled,390.0
BA1753,BA,PRG,LAX,2025-07-12 10:30:00,2025-07-12 11:45:00,B787,On Time,D10,2025-07-12,schedule,scheduled,75.0
LH1716,LH,GDQ,PNQ,2025-07-12 14:45:00,2025-07-12 15:45:00,A320,Cancelled,B25,2025-07-12,schedule,scheduled,60.0
KQ7683,KQ,KSW,DWC,2025-07-12 20:15:00,2025-07-13 02:45:00,B737,Cancelled,D22,2025-07-12,schedule,scheduled,390.0
LO9933,LO,DMK,EBM,2025-07-12 14:00:00,2025-07-12 18:15:00,A320,Scheduled,D41,2025-07-12,schedule,scheduled,255.0
NK624,NK,HBA,MEX,2025-07-12 18:15:00,2025-07-12 20:00:00,A320,Delayed,B47,2025-07-12,schedule,scheduled,105.0
LX2482,LX,CGY,VIE,2025-07-13 00:45:00,2025-07-13 07:00:00,A320,Delayed,D37,2025-07-12,schedule,scheduled,375.0
ME4635,ME,CWB,BFN,2025-07-12 21:15:00,2025-07-13 00:45:00,A320,Scheduled,B3,2025-07-12,schedule,scheduled,210.0
P57933,P5,SZX,MAA,2025-07-12 15:30:00,2025-07-12 21:45:00,A320,Scheduled,B45,2025-07-12,schedule,scheduled,375.0
FR452,FR,ATL,CLO,2025-07-12 23:00:00,2025-07-13 04:00:00,B787,Cancelled,D27,2025-07-12,schedule,scheduled,300.0
SJ8098,SJ,ZAL,CRK,2025-07-12 08:45:00,2025-07-12 09:45:00,A320,Scheduled,D20,2025-07-12,schedule,scheduled,60.0
QZ5308,QZ,TRU,BSB,2025-07-13 00:00:00,2025-07-13 06:30:00,B777,On Time,A39,2025-07-12,schedule,scheduled,390.0
XG5055,XG,YNY,OOL,2025-07-12 13:00:00,2025-07-12 18:30:00,B737,Scheduled,A16,2025-07-12,schedule,scheduled,330.0
WF9901,WF,TAB,EIL,2025-07-12 23:30:00,2025-07-13 06:00:00,A320,Delayed,B36,2025-07-12,schedule,scheduled,390.0
U21069,U2,ARN,CUN,2025-07-12 23:30:00,2025-07-13 06:15:00,B787,Cancelled,C46,2025-07-12,schedule,scheduled,405.0
AD3443,AD,BSB,TAB,2025-07-12 12:15:00,2025-07-12 19:00:00,A320,Delayed,D6,2025-07-12,schedule,scheduled,405.0
F92629,F9,AMD,MED,2025-07-12 15:15:00,2025-07-12 18:00:00,B737,On Time,D39,2025-07-12,schedule,scheduled,165.0
IX3011,IX,COR,BJX,2025-07-12 19:30:00,2025-07-12 21:45:00,A320,Cancelled,A37,2025-07-12,schedule,scheduled,135.0
XG834,XG,ABV,WCA,2025-07-12 20:45:00,2025-07-13 00:30:00,B737,Scheduled,D48,2025-07-12,schedule,scheduled,225.0
SB1488,SB,KZN,GIG,2025-07-12 07:30:00,2025-07-12 14:00:00,A350,Delayed,C11,2025-07-12,schedule,scheduled,390.0
WS8023,WS,RUH,DMK,2025-07-12 15:30:00,2025-07-12 18:30:00,B737,Cancelled,D46,2025-07-12,schedule,scheduled,180.0
NH2869,NH,LHR,EMY,2025-07-12 22:30:00,2025-07-13 01:00:00,B787,Scheduled,D26,2025-07-12,schedule,scheduled,150.0
MS7636,MS,ROV,BCD,2025-07-12 06:30:00,2025-07-12 12:30:00,B787,Delayed,B10,2025-07-12,schedule,scheduled,360.0
SB175,SB,OSM,CUE,2025-07-12 07:30:00,2025-07-12 11:00:00,A350,Cancelled,B48,2025-07-12,schedule,scheduled,210.0
6E9150,6E,DEN,GDQ,2025-07-12 09:15:00,2025-07-12 16:00:00,A320,Cancelled,D50,2025-07-12,schedule,scheduled,405.0
TT2064,TT,ASW,GMP,2025-07-12 08:30:00,2025-07-12 13:45:00,A350,Scheduled,A5,2025-07-12,schedule,scheduled,315.0
AR3894,AR,EUN,IVC,2025-07-12 14:00:00,2025-07-12 20:30:00,A350,Cancelled,D25,2025-07-12,schedule,scheduled,390.0
UK8679,UK,DME,OGL,2025-07-12 13:45:00,2025-07-12 16:00:00,A320,Delayed,C1,2025-07-12,schedule,scheduled,135.0
NH4928,NH,EMY,IGR,2025-07-12 11:30:00,2025-07-12 15:45:00,A320,On Time,D3,2025-07-12,schedule,scheduled,255.0
SB9801,SB,AWA,HIJ,2025-07-12 08:15:00,2025-07-12 11:15:00,B777,Scheduled,B49,2025-07-12,schedule,scheduled,180.0
JJ5821,JJ,CUZ,PYO,2025-07-12 18:30:00,2025-07-13 01:00:00,B777,On Time,C48,2025-07-12,schedule,scheduled,390.0
UU2749,UU,XMN,KMG,2025-07-12 19:00:00,2025-07-12 23:00:00,A320,On Time,A49,2025-07-12,schedule,scheduled,240.0
SY7912,SY,BJV,SLL,2025-07-12 18:30:00,2025-07-12 20:30:00,B777,Cancelled,B26,2025-07-12,schedule,scheduled,120.0
RJ7198,RJ,GZT,RMQ,2025-07-12 11:45:00,2025-07-12 18:30:00,B777,On Time,B18,2025-07-12,schedule,scheduled,405.0
CI2136,CI,CWB,DME,2025-07-12 08:15:00,2025-07-12 11:45:00,B787,Delayed,A39,2025-07-12,schedule,scheduled,210.0
KQ2321,KQ,GRU,PHC,2025-07-12 21:00:00,2025-07-12 23:00:00,B777,Delayed,C17,2025-07-12,schedule,scheduled,120.0
TS9667,TS,COK,TCP,2025-07-12 16:15:00,2025-07-12 18:30:00,A320,Cancelled,D4,2025-07-12,schedule,scheduled,135.0
TS4743,TS,EMY,MED,2025-07-12 11:00:00,2025-07-12 15:30:00,B737,Scheduled,C46,2025-07-12,schedule,scheduled,270.0
AY1340,AY,TPE,JFK,2025-07-12 14:00:00,2025-07-12 18:30:00,B777,On Time,C32,2025-07-12,schedule,scheduled,270.0
ET5923,ET,YQB,YEG,2025-07-12 16:45:00,2025-07-12 20:00:00,A350,On Time,A46,2025-07-12,schedule,scheduled,195.0
RO1886,RO,IQT,HDS,2025-07-12 13:15:00,2025-07-12 14:30:00,B787,On Time,A24,2025-07-12,schedule,scheduled,75.0
VJ7242,VJ,VIE,MLX,2025-07-12 18:00:00,2025-07-13 00:15:00,A350,Cancelled,D35,2025-07-12,schedule,scheduled,375.0
KE7594,KE,PRG,MTY,2025-07-12 19:30:00,2025-07-13 01:30:00,B777,Scheduled,B27,2025-07-12,schedule,scheduled,360.0
OZ8470,OZ,IAD,EMY,2025-07-13 00:45:00,2025-07-13 05:30:00,A350,Delayed,C10,2025-07-12,schedule,scheduled,285.0
LP3402,LP,SSH,NQN,2025-07-12 22:15:00,2025-07-13 03:15:00,A350,Delayed,D37,2025-07-12,schedule,scheduled,300.0
OZ4361,OZ,BFN,LXR,2025-07-12 09:30:00,2025-07-12 11:00:00,B777,Cancelled,B28,2025-07-12,schedule,scheduled,90.0
SQ8078,SQ,HRG,BNE,2025-07-12 14:00:00,2025-07-12 20:30:00,A320,Scheduled,C49,2025-07-12,schedule,scheduled,390.0
NZ5751,NZ,ZQN,LIM,2025-07-12 15:15:00,2025-07-12 20:00:00,B787,Delayed,A5,2025-07-12,schedule,scheduled,285.0
PX3594,PX,EUN,AMM,2025-07-12 13:30:00,2025-07-12 18:30:00,B787,On Time,B9,2025-07-12,schedule,scheduled,300.0
OZ8849,OZ,BKK,TNG,2025-07-12 08:30:00,2025-07-12 11:00:00,B787,Delayed,D31,2025-07-12,schedule,scheduled,150.0
AS4072,AS,CNS,TUN,2025-07-12 09:15:00,2025-07-12 13:15:00,B737,Cancelled,D23,2025-07-12,schedule,scheduled,240.0
DJ9496,DJ,DUD,TZX,2025-07-12 08:15:00,2025-07-12 13:30:00,B787,Scheduled,D44,2025-07-12,schedule,scheduled,315.0
F85700,F8,CLT,RPN,2025-07-12 06:45:00,2025-07-12 10:30:00,B777,Cancelled,D15,2025-07-12,schedule,scheduled,225.0
JL4863,JL,SSH,BRU,2025-07-12 07:45:00,2025-07-12 11:00:00,B777,On Time,B38,2025-07-12,schedule,scheduled,195.0
PK9497,PK,DEL,BUD,2025-07-12 09:00:00,2025-07-12 15:30:00,A320,On Time,D4,2025-07-12,schedule,scheduled,390.0
TP6879,TP,MFK,AGA,2025-07-12 13:15:00,2025-07-12 17:15:00,A350,Cancelled,C3,2025-07-12,schedule,scheduled,240.0
IB7183,IB,TLV,DME,2025-07-12 14:00:00,2025-07-12 20:15:00,B787,Scheduled,A43,2025-07-12,schedule,scheduled,375.0
FZ5670,FZ,TUU,IAD,2025-07-12 16:45:00,2025-07-12 19:30:00,A350,Delayed,B21,2025-07-12,schedule,scheduled,165.0
EK805,EK,SHC,PHC,2025-07-12 21:45:00,2025-07-13 01:30:00,B777,Scheduled,B21,2025-07-12,schedule,scheduled,225.0
SQ6288,SQ,OVB,COR,2025-07-12 20:15:00,2025-07-12 22:45:00,A320,Delayed,D31,2025-07-12,schedule,scheduled,150.0
OZ5271,OZ,LOS,PPS,2025-07-12 16:45:00,2025-07-12 19:00:00,B777,Delayed,A37,2025-07-12,schedule,scheduled,135.0
BT2441,BT,BCD,CAI,2025-07-12 14:15:00,2025-07-12 17:00:00,B787,Scheduled,A7,2025-07-12,schedule,scheduled,165.0
DT6780,DT,HTY,TNG,2025-07-12 21:30:00,2025-07-13 02:00:00,B787,On Time,A22,2025-07-12,schedule,scheduled,270.0
KQ7752,KQ,CJC,YYC,2025-07-12 11:30:00,2025-07-12 14:45:00,B777,Scheduled,D50,2025-07-12,schedule,scheduled,195.0
FZ4867,FZ,YHZ,SAW,2025-07-13 00:00:00,2025-07-13 03:45:00,A350,Delayed,B14,2025-07-12,schedule,scheduled,225.0
CX1960,CX,NDR,HGH,2025-07-12 18:45:00,2025-07-13 00:45:00,B737,Scheduled,B22,2025-07-12,schedule,scheduled,360.0
NZ5685,NZ,FRA,ICN,2025-07-12 09:30:00,2025-07-12 10:45:00,B777,Cancelled,B43,2025-07-12,schedule,scheduled,75.0
UA5246,UA,ADD,GPS,2025-07-12 15:45:00,2025-07-12 19:15:00,B737,On Time,C1,2025-07-12,schedule,scheduled,210.0
JJ1080,JJ,ADD,CWB,2025-07-12 22:00:00,2025-07-13 02:45:00,A320,Delayed,D38,2025-07-12,schedule,scheduled,285.0
NK5548,NK,MTY,DXB,2025-07-12 11:30:00,2025-07-12 14:45:00,A350,Cancelled,C3,2025-07-12,schedule,scheduled,195.0
ZX1109,ZX,DEN,HND,2025-07-12 15:30:00,2025-07-12 19:00:00,B787,Cancelled,C8,2025-07-12,schedule,scheduled,210.0
NZ5073,NZ,YNY,IQT,2025-07-12 17:30:00,2025-07-12 19:45:00,B737,Scheduled,D5,2025-07-12,schedule,scheduled,135.0
PD1330,PD,ELG,REC,2025-07-12 21:30:00,2025-07-12 22:45:00,B777,Cancelled,D10,2025-07-12,schedule,scheduled,75.0
SQ9143,SQ,ORD,JFK,2025-07-12 22:15:00,2025-07-13 00:15:00,B737,On Time,A29,2025-07-12,schedule,scheduled,120.0
AC5734,AC,MUC,RMF,2025-07-12 18:45:00,2025-07-12 20:30:00,B787,On Time,A27,2025-07-12,schedule,scheduled,105.0
AZ8934,AZ,ORD,MAA,2025-07-12 20:45:00,2025-07-13 01:30:00,A320,Cancelled,A49,2025-07-12,schedule,scheduled,285.0
PK566,PK,MTY,CZM,2025-07-12 12:00:00,2025-07-12 13:00:00,B777,Scheduled,B27,2025-07-12,schedule,scheduled,60.0
AS9888,AS,OVB,DUD,2025-07-12 10:45:00,2025-07-12 13:00:00,B787,Cancelled,D6,2025-07-12,schedule,scheduled,135.0
AS2013,AS,JNB,TCP,2025-07-12 12:15:00,2025-07-12 18:00:00,B777,Scheduled,A18,2025-07-12,schedule,scheduled,345.0
KL3386,KL,LIS,PVG,2025-07-12 23:45:00,2025-07-13 02:30:00,B787,Cancelled,D32,2025-07-12,schedule,scheduled,165.0
NK9079,NK,MLX,TCQ,2025-07-12 21:15:00,2025-07-13 00:45:00,B777,On Time,B30,2025-07-12,schedule,scheduled,210.0
6E3066,6E,DTW,BFN,2025-07-12 11:45:00,2025-07-12 14:45:00,B737,On Time,A11,2025-07-12,schedule,scheduled,180.0
OS503,OS,MUH,YWG,2025-07-12 15:00:00,2025-07-12 18:15:00,B787,Cancelled,B32,2025-07-12,schedule,scheduled,195.0
IX3134,IX,TUN,AMD,2025-07-12 11:30:00,2025-07-12 14:30:00,B787,Scheduled,C15,2025-07-12,schedule,scheduled,180.0
DJ5316,DJ,KWJ,RMF,2025-07-12 15:15:00,2025-07-12 17:15:00,B737,On Time,A10,2025-07-12,schedule,scheduled,120.0
PC7509,PC,PIU,EBL,2025-07-12 18:00:00,2025-07-12 19:45:00,B787,Delayed,B28,2025-07-12,schedule,scheduled,105.0
ET8536,ET,GRJ,ATF,2025-07-12 09:45:00,2025-07-12 11:45:00,B787,On Time,B34,2025-07-12,schedule,scheduled,120.0
PC7501,PC,TCQ,CAI,2025-07-12 10:45:00,2025-07-12 12:30:00,A350,On Time,B47,2025-07-12,schedule,scheduled,105.0
WS5553,WS,BSR,SVO,2025-07-12 22:30:00,2025-07-13 01:30:00,A320,On Time,B24,2025-07-12,schedule,scheduled,180.0
G48096,G4,BGA,ETM,2025-07-12 16:15:00,2025-07-12 22:45:00,B777,Delayed,D10,2025-07-12,schedule,scheduled,390.0
DJ3576,DJ,AYP,HFA,2025-07-12 13:00:00,2025-07-12 15:15:00,B777,On Time,A31,2025-07-12,schedule,scheduled,135.0
OS2946,OS,RMF,IGR,2025-07-12 23:00:00,2025-07-13 01:00:00,B737,Cancelled,A44,2025-07-12,schedule,scheduled,120.0
KQ6920,KQ,TNG,GMP,2025-07-12 15:45:00,2025-07-12 19:15:00,B777,On Time,B28,2025-07-12,schedule,scheduled,210.0
TD6739,TD,CNF,FEZ,2025-07-12 16:15:00,2025-07-12 17:45:00,B737,Scheduled,A11,2025-07-12,schedule,scheduled,90.0
KL6224,KL,CHM,MUH,2025-07-12 19:45:00,2025-07-13 02:15:00,B737,Cancelled,A10,2025-07-12,schedule,scheduled,390.0
TK4795,TK,PEK,IBA,2025-07-12 15:30:00,2025-07-12 21:45:00,B737,On Time,D39,2025-07-12,schedule,scheduled,375.0
SJ4698,SJ,CUN,IPC,2025-07-13 00:15:00,2025-07-13 02:45:00,B777,On Time,B36,2025-07-12,schedule,scheduled,150.0
ME3366,ME,CRK,MED,2025-07-12 22:15:00,2025-07-12 23:30:00,A350,Scheduled,C5,2025-07-12,schedule,scheduled,75.0
AS9760,AS,PUQ,OUD,2025-07-12 07:30:00,2025-07-12 09:45:00,B737,Delayed,C19,2025-07-12,schedule,scheduled,135.0
IR8679,IR,DFW,WCA,2025-07-12 06:15:00,2025-07-12 10:00:00,A320,On Time,A47,2025-07-12,schedule,scheduled,225.0
NH6827,NH,TUU,KRR,2025-07-12 16:45:00,2025-07-12 23:00:00,B737,Scheduled,B36,2025-07-12,schedule,scheduled,375.0
G48205,G4,AEP,NQN,2025-07-12 19:45:00,2025-07-13 02:15:00,B777,Delayed,B4,2025-07-12,schedule,scheduled,390.0
UK7357,UK,NBE,CMN,2025-07-12 18:15:00,2025-07-12 22:30:00,A320,On Time,D40,2025-07-12,schedule,scheduled,255.0
SQ9905,SQ,EZE,CGH,2025-07-12 15:30:00,2025-07-12 19:45:00,B787,Scheduled,A35,2025-07-12,schedule,scheduled,255.0
SJ8405,SJ,OSM,BEV,2025-07-12 21:00:00,2025-07-13 02:30:00,B737,Cancelled,A14,2025-07-12,schedule,scheduled,330.0
QR4862,QR,PHX,DUR,2025-07-12 17:15:00,2025-07-12 21:30:00,B737,Cancelled,C41,2025-07-12,schedule,scheduled,255.0
TP5545,TP,TAE,JRS,2025-07-12 06:15:00,2025-07-12 09:15:00,B737,Delayed,A23,2025-07-12,schedule,scheduled,180.0
DJ2051,DJ,PHC,AHB,2025-07-12 20:30:00,2025-07-13 02:15:00,A320,Cancelled,C11,2025-07-12,schedule,scheduled,345.0
ET8730,ET,FTE,SLL,2025-07-12 23:45:00,2025-07-13 01:45:00,A350,Cancelled,D30,2025-07-12,schedule,scheduled,120.0
VJ6953,VJ,YVR,RAK,2025-07-12 22:30:00,2025-07-13 00:30:00,B737,On Time,B14,2025-07-12,schedule,scheduled,120.0
OK4728,OK,HEL,NKG,2025-07-12 17:45:00,2025-07-13 00:30:00,B777,Delayed,B30,2025-07-12,schedule,scheduled,405.0
VJ1685,VJ,PHC,GZT,2025-07-12 19:30:00,2025-07-12 21:00:00,B737,Scheduled,C17,2025-07-12,schedule,scheduled,90.0
DT5983,DT,SYD,SFO,2025-07-12 20:45:00,2025-07-13 02:00:00,A320,Cancelled,C38,2025-07-12,schedule,scheduled,315.0
VA6784,VA,FRA,FTE,2025-07-12 21:30:00,2025-07-12 22:45:00,B737,Delayed,C38,2025-07-12,schedule,scheduled,75.0
SA4272,SA,KMG,TTU,2025-07-13 00:45:00,2025-07-13 05:45:00,B777,Scheduled,B42,2025-07-12,schedule,scheduled,300.0
TP9919,TP,LSC,NQN,2025-07-12 14:30:00,2025-07-12 17:30:00,B777,Cancelled,B40,2025-07-12,schedule,scheduled,180.0
MS7821,MS,CPT,CNF,2025-07-12 22:45:00,2025-07-13 05:15:00,B777,Scheduled,B1,2025-07-12,schedule,scheduled,390.0
AT8371,AT,DRW,EBL,2025-07-12 19:30:00,2025-07-12 21:45:00,B737,Cancelled,A38,2025-07-12,schedule,scheduled,135.0
LX2096,LX,OTP,TTT,2025-07-12 09:15:00,2025-07-12 13:15:00,B787,Cancelled,A34,2025-07-12,schedule,scheduled,240.0
SB1137,SB,ENU,SCL,2025-07-12 18:30:00,2025-07-12 19:45:00,B777,Scheduled,A2,2025-07-12,schedule,scheduled,75.0
VY5324,VY,BGW,IST,2025-07-12 18:15:00,2025-07-12 21:45:00,B787,On Time,D36,2025-07-12,schedule,scheduled,210.0
HV2212,HV,CJC,SFO,2025-07-12 11:15:00,2025-07-12 14:15:00,B737,Cancelled,A29,2025-07-12,schedule,scheduled,180.0
SV4374,SV,USN,HBA,2025-07-13 00:30:00,2025-07-13 02:45:00,A350,On Time,B22,2025-07-12,schedule,scheduled,135.0
PD4606,PD,WLG,MTZ,2025-07-12 15:15:00,2025-07-12 17:00:00,A320,On Time,C10,2025-07-12,schedule,scheduled,105.0
NH8200,NH,DJE,NPL,2025-07-12 20:30:00,2025-07-12 21:30:00,B787,Delayed,A49,2025-07-12,schedule,scheduled,60.0
IR6507,IR,AQP,RAK,2025-07-12 17:15:00,2025-07-12 20:00:00,A350,Scheduled,A13,2025-07-12,schedule,scheduled,165.0
BT6637,BT,TSN,DEN,2025-07-12 06:30:00,2025-07-12 09:30:00,A350,Scheduled,C14,2025-07-12,schedule,scheduled,180.0
WF6467,WF,RSU,VOG,2025-07-12 16:45:00,2025-07-12 18:15:00,B787,Cancelled,C19,2025-07-12,schedule,scheduled,90.0
SK3946,SK,ABV,EUN,2025-07-13 00:15:00,2025-07-13 04:15:00,B777,Scheduled,D34,2025-07-12,schedule,scheduled,240.0
RJ2140,RJ,GRU,CUC,2025-07-13 00:30:00,2025-07-13 01:30:00,B777,Cancelled,B40,2025-07-12,schedule,scheduled,60.0
WJ1806,WJ,JFK,UIO,2025-07-12 21:45:00,2025-07-13 04:00:00,B777,Cancelled,A19,2025-07-12,schedule,scheduled,375.0
AS4778,AS,KAN,LAS,2025-07-12 23:00:00,2025-07-13 05:45:00,A320,On Time,B50,2025-07-12,schedule,scheduled,405.0
VY8526,VY,SSH,AEP,2025-07-12 19:30:00,2025-07-13 02:15:00,A350,On Time,C46,2025-07-12,schedule,scheduled,405.0
GA6091,GA,AGA,ADZ,2025-07-12 15:45:00,2025-07-12 20:00:00,B787,Cancelled,B13,2025-07-12,schedule,scheduled,255.0
ZX7188,ZX,TOE,WJU,2025-07-12 20:15:00,2025-07-12 21:45:00,B737,Delayed,C15,2025-07-12,schedule,scheduled,90.0
SY5982,SY,EWR,HYD,2025-07-12 20:45:00,2025-07-12 21:45:00,B737,Delayed,A46,2025-07-12,schedule,scheduled,60.0
AA8840,AA,PMR,OGL,2025-07-12 19:30:00,2025-07-13 01:15:00,B777,On Time,D24,2025-07-12,schedule,scheduled,345.0
ZX4169,ZX,HGH,EMY,2025-07-12 19:45:00,2025-07-13 01:15:00,B787,Scheduled,A10,2025-07-12,schedule,scheduled,330.0
UA9177,UA,AQP,USN,2025-07-12 13:45:00,2025-07-12 18:45:00,B787,On Time,A45,2025-07-12,schedule,scheduled,300.0
NK7203,NK,CNS,ATF,2025-07-12 10:15:00,2025-07-12 13:30:00,A350,Scheduled,B6,2025-07-12,schedule,scheduled,195.0
SA5917,SA,MIR,HRG,2025-07-12 16:45:00,2025-07-12 21:30:00,B777,Cancelled,D23,2025-07-12,schedule,scheduled,285.0
AR5592,AR,WCA,PMC,2025-07-12 21:15:00,2025-07-13 00:00:00,A350,Cancelled,A19,2025-07-12,schedule,scheduled,165.0
AR3328,AR,PLZ,TUU,2025-07-12 08:15:00,2025-07-12 13:30:00,B737,Delayed,B22,2025-07-12,schedule,scheduled,315.0
SA9909,SA,TNG,YWG,2025-07-12 18:15:00,2025-07-12 19:45:00,A350,On Time,A36,2025-07-12,schedule,scheduled,90.0
SY5610,SY,YWG,TAK,2025-07-12 20:00:00,2025-07-12 21:15:00,B787,Scheduled,C11,2025-07-12,schedule,scheduled,75.0
HC5982,HC,CGY,YEG,2025-07-12 12:45:00,2025-07-12 18:30:00,A350,On Time,D18,2025-07-12,schedule,scheduled,345.0
SN1580,SN,OTP,BGW,2025-07-12 10:00:00,2025-07-12 11:45:00,A320,Scheduled,B25,2025-07-12,schedule,scheduled,105.0
G34042,G3,ASW,ADL,2025-07-12 19:30:00,2025-07-12 21:30:00,A350,Scheduled,D14,2025-07-12,schedule,scheduled,120.0
WF9450,WF,CJC,TAB,2025-07-12 22:00:00,2025-07-13 02:15:00,A350,On Time,C27,2025-07-12,schedule,scheduled,255.0
SB7781,SB,KIX,GIG,2025-07-12 06:15:00,2025-07-12 07:45:00,B737,Scheduled,A47,2025-07-12,schedule,scheduled,90.0
AY8937,AY,BJX,SYD,2025-07-12 09:30:00,2025-07-12 15:30:00,A350,On Time,B18,2025-07-12,schedule,scheduled,360.0
MS6633,MS,SZX,ANF,2025-07-12 14:15:00,2025-07-12 16:15:00,A350,Delayed,D18,2025-07-12,schedule,scheduled,120.0
SV7990,SV,SFS,EBL,2025-07-12 10:15:00,2025-07-12 15:30:00,B777,On Time,B13,2025-07-12,schedule,scheduled,315.0
MH4264,MH,TAK,LGA,2025-07-13 00:15:00,2025-07-13 03:45:00,B787,Cancelled,A22,2025-07-12,schedule,scheduled,210.0
WF651,WF,EBL,PVG,2025-07-12 21:15:00,2025-07-12 22:45:00,B737,On Time,A9,2025-07-12,schedule,scheduled,90.0
