icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,data_source,extraction_time,data_timestamp,altitude,speed,heading,region
801621,IGO295V,India,1752334362.0,1752334362,77.0904,28.5689,,True,6.69,270.0,,,,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,6.69,270.0,Asia
a4b228,UPS5771,United States,1752334384.0,1752334384,-88.1433,37.6581,8877.3,False,252.2,68.46,-1.95,,9357.36,2212,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8877.3,252.2,68.46,North America
aaf656,VXP50,United States,1752334384.0,1752334384,-115.959,33.9848,8953.5,False,218.51,290.82,-13.0,,9555.48,1677,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8953.5,218.51,290.82,North America
a2356b,N241TM,United States,1752334384.0,1752334384,-76.9313,39.299,2095.5,False,83.3,107.99,0.0,,2209.8,2164,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2095.5,83.3,107.99,North America
ad5623,AAL1140,United States,1752334384.0,1752334384,-80.8176,33.2797,3695.7,False,182.76,111.29,-9.1,,3939.54,5740,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3695.7,182.76,111.29,North America
511156,ABY336,Estonia,1752334382.0,1752334384,49.5763,27.0657,10668.0,False,235.97,93.12,0.0,,11460.48,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10668.0,235.97,93.12,Africa
80161a,IGO671,India,1752334384.0,1752334384,74.4056,15.5213,10355.58,False,239.98,329.04,0.0,,10988.04,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10355.58,239.98,329.04,Asia
c047d8,CGBFJ,Canada,1752334101.0,1752334101,-78.4527,44.1977,883.92,False,59.94,84.58,-3.9,,929.64,4313,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,883.92,59.94,84.58,North America
801627,AXB1130,India,1752334379.0,1752334379,77.098,28.4415,3177.54,False,141.99,283.83,-5.53,,3253.74,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3177.54,141.99,283.83,Asia
a0e250,AAL895,United States,1752334384.0,1752334384,-86.6078,21.2241,3078.48,False,153.81,213.96,-6.5,,3291.84,7122,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3078.48,153.81,213.96,North America
39de46,TVF97NG,France,1752334384.0,1752334384,-2.7953,40.9818,11902.44,False,242.66,201.12,-1.3,,12390.12,7634,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11902.44,242.66,201.12,Europe
39de45,TVF33SN,France,1752334384.0,1752334384,-1.4578,44.3197,11567.16,False,236.2,28.63,0.0,,12009.12,1000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11567.16,236.2,28.63,Europe
407a05,EZY89RG,United Kingdom,1752334384.0,1752334385,10.4325,47.3857,11285.22,False,249.82,139.09,-0.65,,11635.74,7311,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11285.22,249.82,139.09,Europe
407a03,GCLYM,United Kingdom,1752334384.0,1752334384,-1.8605,51.6115,1066.8,False,42.88,120.26,-0.33,,1181.1,7000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1066.8,42.88,120.26,Europe
39de47,TVF4454,France,1752334384.0,1752334384,13.1534,45.3669,11879.58,False,249.84,129.82,0.0,,12291.06,0672,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11879.58,249.84,129.82,Europe
a34215,EDV5247,United States,1752334144.0,1752334146,-84.4289,33.6382,,True,0.0,264.38,,,,2422,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,0.0,264.38,North America
80161d,AKJ113V,India,1752334384.0,1752334384,87.8193,23.4753,11894.82,False,233.29,34.22,-0.33,,12702.54,2711,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11894.82,233.29,34.22,Asia
39de40,TVF66QR,France,1752334378.0,1752334381,15.0245,43.501,11574.78,False,208.28,309.59,0.33,,12039.6,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11574.78,208.28,309.59,Europe
80161e,AKJ185U,India,1752334304.0,1752334326,84.1547,20.3343,11582.4,False,249.19,240.84,0.0,,12352.02,2611,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11582.4,249.19,240.84,Asia
39de43,TVF77XZ,France,1752334384.0,1752334384,2.7667,48.3133,3048.0,False,170.1,290.35,0.33,,3200.4,1000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3048.0,170.1,290.35,Europe
80166c,AIC2015,India,1752334384.0,1752334384,21.9492,47.5112,12192.0,False,248.8,301.13,-0.33,,12588.24,5431,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,12192.0,248.8,301.13,Europe
ac498c,FDX9008,United States,1752334384.0,1752334384,55.1445,24.8385,2346.96,False,147.07,107.93,10.4,,2392.68,0560,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2346.96,147.07,107.93,Other
a2228b,ASA1226,United States,1752334384.0,1752334385,-122.6135,39.2591,11277.6,False,233.86,175.2,0.0,,11932.92,1643,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11277.6,233.86,175.2,North America
511188,MBU5KZ,Estonia,1752334384.0,1752334384,-1.7357,46.4669,11277.6,False,227.77,223.72,-0.33,,11704.32,1113,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11277.6,227.77,223.72,Europe
4acb03,NSZ75Z,Sweden,1752334383.0,1752334383,-6.7844,42.5475,11277.6,False,237.64,203.07,0.0,,11788.14,1152,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11277.6,237.64,203.07,Europe
48d210,SPWRR,Poland,1752334261.0,1752334261,16.9782,51.0422,160.02,False,10.61,292.83,-2.93,,190.5,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,160.02,10.61,292.83,Europe
801685,AXB1676,India,1752334384.0,1752334384,77.5627,13.3558,4191.0,False,144.04,143.13,-5.53,,4335.78,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,4191.0,144.04,143.13,Other
acccc6,N9238G,United States,1752334384.0,1752334384,-84.1482,33.0113,1775.46,False,69.55,291.25,0.0,,1859.28,7406,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1775.46,69.55,291.25,North America
a47597,DAL2444,United States,1752334305.0,1752334306,-122.3135,47.4596,,True,6.17,171.56,,,,2673,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,6.17,171.56,North America
a6f0fd,N5463F,United States,1752334382.0,1752334382,-85.4741,32.9645,1554.48,False,65.22,186.34,2.93,,1653.54,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1554.48,65.22,186.34,North America
4bc8c9,PGT6WL,Turkey,1752334384.0,1752334384,28.6736,40.6257,2727.96,False,135.3,152.36,0.0,,2895.6,0450,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2727.96,135.3,152.36,Europe
4bc8c6,PGT26PA,Turkey,1752334384.0,1752334384,28.39,40.7719,,True,170.96,117.41,-4.55,,,4670,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,170.96,117.41,Europe
4bc8c4,PGT8JF,Turkey,1752334384.0,1752334384,26.2036,42.02,10401.3,False,259.19,118.45,-4.23,,10965.18,6431,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10401.3,259.19,118.45,Europe
4bc8c3,PGT6SD,Turkey,1752334385.0,1752334385,20.8042,47.1351,10668.0,False,247.97,143.61,0.0,,10957.56,1732,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10668.0,247.97,143.61,Europe
801680,AXB2959,India,1752334335.0,1752334339,75.6429,13.2094,10660.38,False,223.15,159.77,0.0,,11300.46,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10660.38,223.15,159.77,Other
a6f0f5,OSU54,United States,1752334384.0,1752334384,-83.1666,40.2249,754.38,False,48.87,90.6,-0.33,,769.62,1200,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,754.38,48.87,90.6,North America
80167b,AIC2850,India,1752334384.0,1752334384,74.3596,17.4383,10546.08,False,255.2,307.79,-6.83,,11224.26,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10546.08,255.2,307.79,Asia
e8024f,LPE2452,Chile,1752334371.0,1752334371,-75.856,-5.5966,11277.6,False,229.32,11.39,0.0,,11986.26,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11277.6,229.32,11.39,South America
80167f,AIC505,India,1752334282.0,1752334282,76.9663,24.8402,9448.8,False,249.14,220.73,0.0,,10073.64,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9448.8,249.14,220.73,Asia
e8024a,LAN762,Chile,1752334353.0,1752334354,-53.1785,-25.3866,10660.38,False,248.2,79.25,0.33,,11216.64,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10660.38,248.2,79.25,South America
abf008,SWA1597,United States,1752334385.0,1752334385,-71.0444,41.8894,3596.64,False,154.23,59.76,0.0,,3787.14,0542,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3596.64,154.23,59.76,North America
e80260,LPE2305,Chile,1752334318.0,1752334318,-77.7789,-10.6687,7665.72,False,194.18,153.91,-9.1,,8229.6,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,7665.72,194.18,153.91,South America
511172,,Estonia,1752334287.0,1752334381,-9.7749,35.0666,10972.8,False,262.47,36.71,0.0,,11620.5,6263,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10972.8,262.47,36.71,Europe
511170,MBU2AT,Estonia,1752334384.0,1752334384,0.8289,43.1115,11582.4,False,246.01,52.82,0.33,,12024.36,3376,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11582.4,246.01,52.82,Europe
e80268,LPE2464,Chile,1752334384.0,1752334384,-59.0764,-33.7917,9326.88,False,195.34,328.57,5.2,,9646.92,0302,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9326.88,195.34,328.57,South America
ad563d,TYSON51,United States,1752334382.0,1752334383,-97.4565,26.7838,6332.22,False,226.87,0.13,10.08,,6705.6,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,6332.22,226.87,0.13,North America
801699,AXB1560,India,1752334384.0,1752334384,85.5391,24.4266,10340.34,False,232.14,116.74,1.95,,11049.0,0216,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10340.34,232.14,116.74,Asia
a9fc6f,N74206,United States,1752334287.0,1752334287,-118.5803,46.1829,2560.32,False,64.94,253.43,0.33,,2674.62,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2560.32,64.94,253.43,North America
a4d838,DAL113,United States,1752334384.0,1752334384,-13.5395,54.6955,11582.4,False,256.38,290.43,0.0,,11910.06,5765,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11582.4,256.38,290.43,Europe
e8025f,LPE2306,Chile,1752334383.0,1752334384,-79.0665,-8.9371,10972.8,False,224.55,333.32,0.0,,11696.7,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10972.8,224.55,333.32,South America
a2226b,GAQV,United States,1752334384.0,1752334384,-122.2423,49.1654,853.44,False,50.85,11.08,0.0,,914.4,5564,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,853.44,50.85,11.08,North America
a963f7,FFT205,United States,1752334384.0,1752334384,-106.9212,34.6528,10988.04,False,241.89,192.53,0.0,,11597.64,3756,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10988.04,241.89,192.53,North America
4031ce,GBSLT,United Kingdom,1752334381.0,1752334381,-3.0432,56.6618,914.4,False,49.22,228.81,0.33,,1051.56,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,914.4,49.22,228.81,Europe
80164f,AIC2813,India,1752334092.0,1752334119,77.7622,13.1891,1104.9,False,67.4,270.87,-3.58,,1036.32,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1104.9,67.4,270.87,Other
a39bfa,UAL239,United States,1752334290.0,1752334290,-74.1748,40.6904,,True,1.54,258.75,,,,2405,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,1.54,258.75,North America
ad5679,DAL2147,United States,1752334364.0,1752334364,-85.3279,42.7391,1485.9,False,146.52,37.15,-10.08,,1569.72,2004,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1485.9,146.52,37.15,North America
ac101f,SWA336,United States,1752334383.0,1752334383,-105.537,36.7197,10668.0,False,253.58,112.92,0.0,,11224.26,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10668.0,253.58,112.92,North America
471efa,WZZ829,Hungary,1752334384.0,1752334384,19.0418,50.7544,6880.86,False,220.67,149.61,-23.08,,7071.36,3705,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,6880.86,220.67,149.61,Europe
acdffc,DAL539,United States,1752334158.0,1752334161,-106.2857,44.515,10972.8,False,231.06,274.09,0.0,,11468.1,6071,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10972.8,231.06,274.09,North America
47b217,NBT31D,Norway,1752334384.0,1752334384,0.2062,51.2419,9753.6,False,251.89,293.21,-0.98,,10157.46,7560,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9753.6,251.89,293.21,Europe
471efb,,Hungary,1752334269.0,1752334269,18.825,41.071,9357.36,False,198.82,267.18,6.83,,,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9357.36,198.82,267.18,Europe
471eff,WZZ6620,Hungary,1752334383.0,1752334383,6.0125,47.7518,10980.42,False,218.65,305.04,0.33,,11361.42,2230,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10980.42,218.65,305.04,Europe
471efd,WZZ6262,Hungary,1752334384.0,1752334384,7.3013,51.6642,8953.5,False,215.04,90.0,6.18,,9243.06,1000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8953.5,215.04,90.0,Europe
801661,IGO6AU,India,1752334384.0,1752334384,78.0866,27.9089,8145.78,False,205.54,134.29,7.8,,8633.46,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8145.78,205.54,134.29,Asia
801662,IGO6317,India,1752334383.0,1752334384,88.1409,26.4055,10972.8,False,242.81,210.42,0.0,,11750.04,2616,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10972.8,242.81,210.42,Asia
ac3688,SWA1637,United States,1752334384.0,1752334384,-87.4313,32.1622,10972.8,False,233.79,259.6,0.0,,11635.74,1435,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10972.8,233.79,259.6,North America
accce6,N9239D,United States,1752334384.0,1752334384,-83.9694,37.5455,2743.2,False,87.22,14.69,0.0,,2849.88,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2743.2,87.22,14.69,North America
801666,AIC112,India,1752334062.0,1752334384,29.4718,42.404,11277.6,False,274.49,109.49,0.0,,11902.44,4745,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11277.6,274.49,109.49,Europe
a34268,SKW4072,United States,1752334384.0,1752334384,-111.9667,41.1326,3291.84,False,132.52,153.24,-2.93,,3482.34,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3291.84,132.52,153.24,North America
44029f,AUA417,Austria,1752334384.0,1752334384,16.1095,48.1253,3444.24,False,161.57,289.53,4.23,,3589.02,1000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3444.24,161.57,289.53,Europe
3932ee,FGMXO,France,1752334383.0,1752334384,1.4574,48.4009,746.76,False,59.47,120.11,1.3,,815.34,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,746.76,59.47,120.11,Europe
acdfea,N929DF,United States,1752334383.0,1752334384,-76.0499,36.4669,594.36,False,65.26,104.15,0.33,,624.84,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,594.36,65.26,104.15,North America
ac1042,SWA1977,United States,1752334384.0,1752334384,-86.5565,22.343,7879.08,False,224.71,12.16,7.15,,8382.0,6114,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,7879.08,224.71,12.16,North America
801672,AIC2522,India,1752334384.0,1752334384,78.4889,28.2659,9288.78,False,242.53,297.54,-14.63,,9906.0,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9288.78,242.53,297.54,Asia
abf025,SWA2818,United States,1752334382.0,1752334382,-88.4351,35.5233,9624.06,False,256.14,69.05,-4.88,,10187.94,2264,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9624.06,256.14,69.05,North America
a47560,N387AW,United States,1752334383.0,1752334383,-114.8262,36.1883,2887.98,False,65.58,101.31,1.95,,3025.14,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2887.98,65.58,101.31,North America
a53ee2,UAL275,United States,1752334384.0,1752334384,-101.1729,43.9153,7909.56,False,203.55,273.33,-4.88,,8282.94,3175,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,7909.56,203.55,273.33,North America
a4c527,RPA4770,United States,1752334383.0,1752334383,-84.897,42.5151,8839.2,False,247.79,63.75,0.33,,9281.16,5020,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8839.2,247.79,63.75,North America
505f15,TOM1JV,Slovakia,1752334384.0,1752334384,12.2321,48.0449,11277.6,False,250.42,133.0,0.0,,11574.78,4715,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11277.6,250.42,133.0,Europe
a2359f,N241VP,United States,1752334384.0,1752334384,-102.7239,43.0031,3749.04,False,85.4,58.8,-0.33,,3916.68,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,3749.04,85.4,58.8,North America
adda1e,AAL336,United States,1752334384.0,1752334384,-97.0882,32.7789,1440.18,False,123.37,229.74,9.75,,1516.38,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1440.18,123.37,229.74,North America
ad9d88,N9769F,United States,1752334384.0,1752334384,-106.7732,32.1658,2278.38,False,48.04,316.74,-1.95,,2385.06,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2278.38,48.04,316.74,North America
4acb45,SAS7356,Sweden,1752334384.0,1752334384,20.2465,64.2082,11582.4,False,222.48,351.76,0.33,,12047.22,2232,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11582.4,222.48,351.76,Europe
4acb44,SAS52A,Sweden,1752334383.0,1752334383,11.4923,61.7966,9852.66,False,236.56,173.63,6.83,,10325.1,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9852.66,236.56,173.63,Europe
a4b294,RPA4700,United States,1752334073.0,1752334073,-82.8718,39.9915,243.84,False,70.24,275.04,-3.9,,236.22,0162,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,243.84,70.24,275.04,North America
a9fbb6,N742TW,United States,1752334384.0,1752334384,-112.0532,40.664,1638.3,False,54.77,331.99,0.65,,1714.5,1200,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1638.3,54.77,331.99,North America
a7bbe9,,United States,1752334347.0,1752334347,-100.5008,40.8022,8229.6,False,208.66,262.35,0.0,,8656.32,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8229.6,208.66,262.35,North America
adda24,AAL573,United States,1752334384.0,1752334384,-82.2876,35.6282,6294.12,False,201.47,105.7,-8.78,,6667.5,3516,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,6294.12,201.47,105.7,North America
a247b8,EJA246,United States,1752334257.0,1752334257,-81.839,27.8743,845.82,False,128.13,95.3,-0.33,,944.88,2175,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,845.82,128.13,95.3,North America
e80219,ARE4138,Chile,1752334383.0,1752334384,-74.0979,4.688,2895.6,False,95.92,67.29,6.5,,3093.72,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2895.6,95.92,67.29,South America
a9a215,KEN3030,United States,1752334384.0,1752334384,-122.2813,47.6197,365.76,False,82.72,185.71,-1.3,,419.1,4755,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,365.76,82.72,185.71,North America
