flight_number,airline,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,aircraft_type,status,gate,extraction_date,data_source,flight_type,flight_duration_minutes
AC3309,AC,RAK,GRU,2025-07-12 16:45:00,2025-07-12 20:45:00,B777,Cancelled,C37,2025-07-12,schedule,scheduled,240.0
SV9998,SV,BAQ,PVR,2025-07-13 00:45:00,2025-07-13 05:15:00,A320,Scheduled,A40,2025-07-12,schedule,scheduled,270.0
TG1713,TG,ORD,AWA,2025-07-12 23:00:00,2025-07-13 02:00:00,A350,Delayed,A25,2025-07-12,schedule,scheduled,180.0
BA613,BA,HIJ,ROV,2025-07-12 13:30:00,2025-07-12 19:30:00,B777,Delayed,C38,2025-07-12,schedule,scheduled,360.0
AD6094,AD,BJV,CUZ,2025-07-12 06:30:00,2025-07-12 12:15:00,B777,Scheduled,D7,2025-07-12,schedule,scheduled,345.0
UK9677,UK,MAA,REC,2025-07-13 00:30:00,2025-07-13 03:45:00,B787,Cancelled,C26,2025-07-12,schedule,scheduled,195.0
TT9211,TT,EIL,AEP,2025-07-12 20:30:00,2025-07-13 03:00:00,B737,On Time,C39,2025-07-12,schedule,scheduled,390.0
UU3190,UU,IKT,OOL,2025-07-12 07:30:00,2025-07-12 10:45:00,B737,Delayed,A34,2025-07-12,schedule,scheduled,195.0
ZX1657,ZX,AHB,CGH,2025-07-12 22:30:00,2025-07-13 00:15:00,A350,Scheduled,D42,2025-07-12,schedule,scheduled,105.0
TG5854,TG,LGA,BNE,2025-07-12 10:00:00,2025-07-12 12:15:00,A350,On Time,C10,2025-07-12,schedule,scheduled,135.0
WG3739,WG,LLI,SCL,2025-07-12 10:45:00,2025-07-12 17:00:00,B777,Cancelled,D34,2025-07-12,schedule,scheduled,375.0
NZ4702,NZ,MSP,ROT,2025-07-12 15:30:00,2025-07-12 20:45:00,B787,On Time,B47,2025-07-12,schedule,scheduled,315.0
PX6522,PX,ADD,OGL,2025-07-12 17:00:00,2025-07-12 23:45:00,A350,Delayed,A36,2025-07-12,schedule,scheduled,405.0
JQ7614,JQ,JNB,DUR,2025-07-12 20:15:00,2025-07-13 02:45:00,B737,Cancelled,B12,2025-07-12,schedule,scheduled,390.0
DJ8538,DJ,RAK,AGA,2025-07-12 21:15:00,2025-07-13 03:45:00,B737,Cancelled,C21,2025-07-12,schedule,scheduled,390.0
NZ3103,NZ,NQN,GIG,2025-07-12 16:45:00,2025-07-12 18:00:00,B737,Scheduled,A33,2025-07-12,schedule,scheduled,75.0
KL7515,KL,ZCO,CTS,2025-07-12 11:00:00,2025-07-12 16:15:00,A320,On Time,C33,2025-07-12,schedule,scheduled,315.0
G45401,G4,ELG,VOG,2025-07-12 14:45:00,2025-07-12 19:15:00,B777,Scheduled,D29,2025-07-12,schedule,scheduled,270.0
WF1893,WF,IFN,GNI,2025-07-12 17:45:00,2025-07-12 18:45:00,A320,Scheduled,D38,2025-07-12,schedule,scheduled,60.0
BL8824,BL,JUL,XMS,2025-07-12 10:00:00,2025-07-12 14:30:00,B777,Cancelled,D39,2025-07-12,schedule,scheduled,270.0
TD856,TD,LST,MQX,2025-07-12 16:45:00,2025-07-12 20:00:00,B777,Delayed,D20,2025-07-12,schedule,scheduled,195.0
IB104,IB,OCC,CJU,2025-07-12 22:30:00,2025-07-13 00:45:00,B787,Scheduled,C41,2025-07-12,schedule,scheduled,135.0
IR7709,IR,ILO,EBL,2025-07-12 23:45:00,2025-07-13 05:00:00,B737,Scheduled,D25,2025-07-12,schedule,scheduled,315.0
MS4598,MS,MEL,IVC,2025-07-12 22:45:00,2025-07-13 00:15:00,A320,Delayed,D33,2025-07-12,schedule,scheduled,90.0
TK4642,TK,AGA,MTY,2025-07-12 21:30:00,2025-07-13 01:45:00,B787,On Time,D44,2025-07-12,schedule,scheduled,255.0
AI7885,AI,IPC,JOS,2025-07-12 19:45:00,2025-07-12 21:45:00,B737,On Time,C5,2025-07-12,schedule,scheduled,120.0
SK6824,SK,PVG,CTS,2025-07-12 06:00:00,2025-07-12 10:00:00,B737,Scheduled,B41,2025-07-12,schedule,scheduled,240.0
SW5802,SW,TRU,PMR,2025-07-12 08:15:00,2025-07-12 13:30:00,B737,Delayed,B44,2025-07-12,schedule,scheduled,315.0
TG2069,TG,YYC,ANF,2025-07-12 08:45:00,2025-07-12 14:45:00,A320,On Time,B19,2025-07-12,schedule,scheduled,360.0
PC3005,PC,SZX,XNH,2025-07-12 10:00:00,2025-07-12 11:15:00,A350,Scheduled,B1,2025-07-12,schedule,scheduled,75.0
JQ2616,JQ,HKG,YVR,2025-07-12 19:00:00,2025-07-12 20:00:00,B737,Delayed,B13,2025-07-12,schedule,scheduled,60.0
GF4128,GF,HBA,HND,2025-07-12 14:15:00,2025-07-12 17:30:00,A350,Cancelled,C17,2025-07-12,schedule,scheduled,195.0
SB5075,SB,CNF,KAN,2025-07-12 23:00:00,2025-07-13 03:00:00,A320,On Time,C33,2025-07-12,schedule,scheduled,240.0
LO4551,LO,USN,SCL,2025-07-12 14:30:00,2025-07-12 17:45:00,A350,Cancelled,D19,2025-07-12,schedule,scheduled,195.0
BR9822,BR,CRK,IAD,2025-07-12 16:15:00,2025-07-12 21:45:00,B787,Scheduled,A21,2025-07-12,schedule,scheduled,330.0
WG737,WG,AHB,LTX,2025-07-12 16:45:00,2025-07-12 22:15:00,A350,Delayed,A6,2025-07-12,schedule,scheduled,330.0
AD3378,AD,GDQ,BUD,2025-07-12 23:15:00,2025-07-13 01:45:00,A350,Cancelled,D2,2025-07-12,schedule,scheduled,150.0
W59003,W5,BRU,DMK,2025-07-12 09:15:00,2025-07-12 16:00:00,B787,On Time,A43,2025-07-12,schedule,scheduled,405.0
TP7108,TP,LST,LXR,2025-07-13 00:45:00,2025-07-13 05:30:00,A350,Scheduled,D24,2025-07-12,schedule,scheduled,285.0
VJ1291,VJ,IFN,DTW,2025-07-12 09:30:00,2025-07-12 10:45:00,B787,Cancelled,D28,2025-07-12,schedule,scheduled,75.0
VY7204,VY,BLR,LHR,2025-07-12 21:45:00,2025-07-13 04:00:00,B787,Delayed,D32,2025-07-12,schedule,scheduled,375.0
AZ3971,AZ,FOR,TUN,2025-07-12 08:45:00,2025-07-12 10:15:00,B737,Delayed,A48,2025-07-12,schedule,scheduled,90.0
PX1498,PX,HRG,BLR,2025-07-12 23:00:00,2025-07-13 05:30:00,A320,On Time,C10,2025-07-12,schedule,scheduled,390.0
B68133,B6,NQN,TUN,2025-07-12 15:45:00,2025-07-12 18:15:00,B777,Scheduled,C14,2025-07-12,schedule,scheduled,150.0
MS4129,MS,TTT,ILR,2025-07-12 15:45:00,2025-07-12 21:00:00,B737,Scheduled,A10,2025-07-12,schedule,scheduled,315.0
HC419,HC,YNY,WAW,2025-07-12 08:15:00,2025-07-12 14:15:00,B787,Cancelled,B44,2025-07-12,schedule,scheduled,360.0
QR6416,QR,CGY,LXR,2025-07-12 18:45:00,2025-07-13 01:00:00,B777,On Time,D47,2025-07-12,schedule,scheduled,375.0
I59024,I5,HUN,EBM,2025-07-12 21:30:00,2025-07-13 01:15:00,A350,Scheduled,B20,2025-07-12,schedule,scheduled,225.0
VA844,VA,HRG,GPS,2025-07-12 13:15:00,2025-07-12 14:30:00,A350,Scheduled,B7,2025-07-12,schedule,scheduled,75.0
TD6845,TD,CUZ,GMP,2025-07-12 22:00:00,2025-07-12 23:30:00,B787,Scheduled,B46,2025-07-12,schedule,scheduled,90.0
AS215,AS,CJC,DXB,2025-07-13 00:30:00,2025-07-13 05:00:00,A320,On Time,D37,2025-07-12,schedule,scheduled,270.0
UA8820,UA,ENU,BNE,2025-07-12 20:00:00,2025-07-12 21:45:00,B787,Scheduled,C38,2025-07-12,schedule,scheduled,105.0
FR1999,FR,TAE,JUJ,2025-07-12 18:30:00,2025-07-12 20:45:00,A320,On Time,A9,2025-07-12,schedule,scheduled,135.0
SY2700,SY,MAD,DME,2025-07-12 07:45:00,2025-07-12 12:30:00,B787,Delayed,C45,2025-07-12,schedule,scheduled,285.0
DT2032,DT,RMF,BJV,2025-07-12 14:15:00,2025-07-12 17:15:00,B777,Cancelled,C47,2025-07-12,schedule,scheduled,180.0
SK9737,SK,AQP,ZUR,2025-07-12 23:30:00,2025-07-13 03:45:00,B737,On Time,B46,2025-07-12,schedule,scheduled,255.0
NK8142,NK,NKG,OSL,2025-07-12 06:30:00,2025-07-12 09:15:00,A350,Delayed,A36,2025-07-12,schedule,scheduled,165.0
VN9923,VN,HYD,BSR,2025-07-12 17:00:00,2025-07-12 23:45:00,B737,On Time,C9,2025-07-12,schedule,scheduled,405.0
DT4036,DT,IBA,KIX,2025-07-12 18:00:00,2025-07-12 21:15:00,A350,On Time,C33,2025-07-12,schedule,scheduled,195.0
KQ9457,KQ,ILO,YYC,2025-07-12 17:30:00,2025-07-12 19:30:00,B787,Delayed,C13,2025-07-12,schedule,scheduled,120.0
FD5245,FD,OCC,EZE,2025-07-12 14:45:00,2025-07-12 15:45:00,B737,Scheduled,A25,2025-07-12,schedule,scheduled,60.0
SY1547,SY,TNG,CUN,2025-07-12 18:00:00,2025-07-13 00:45:00,A320,Cancelled,B48,2025-07-12,schedule,scheduled,405.0
MH2440,MH,CTU,CTS,2025-07-12 21:45:00,2025-07-12 23:45:00,A350,Scheduled,D41,2025-07-12,schedule,scheduled,120.0
TG8460,TG,FRA,YHM,2025-07-12 19:00:00,2025-07-12 22:15:00,B777,Scheduled,D17,2025-07-12,schedule,scheduled,195.0
LP8174,LP,ZQN,SLL,2025-07-12 17:45:00,2025-07-12 19:00:00,A320,Scheduled,A16,2025-07-12,schedule,scheduled,75.0
WF3720,WF,WAW,OKA,2025-07-12 10:30:00,2025-07-12 13:45:00,B787,Cancelled,B46,2025-07-12,schedule,scheduled,195.0
I53126,I5,ATF,LGA,2025-07-12 20:45:00,2025-07-13 02:45:00,B777,On Time,D39,2025-07-12,schedule,scheduled,360.0
RJ8401,RJ,CUE,GDL,2025-07-12 09:30:00,2025-07-12 11:45:00,A320,Scheduled,C25,2025-07-12,schedule,scheduled,135.0
TG3777,TG,ILR,ZQN,2025-07-12 18:15:00,2025-07-12 21:30:00,A350,Cancelled,A45,2025-07-12,schedule,scheduled,195.0
JJ4082,JJ,PHX,SYD,2025-07-12 16:45:00,2025-07-12 18:00:00,B787,Scheduled,A5,2025-07-12,schedule,scheduled,75.0
HV3941,HV,TUN,IGR,2025-07-12 23:30:00,2025-07-13 06:00:00,B737,On Time,D17,2025-07-12,schedule,scheduled,390.0
TT5392,TT,HKG,HBA,2025-07-12 21:00:00,2025-07-12 22:45:00,B737,Cancelled,C6,2025-07-12,schedule,scheduled,105.0
SV1440,SV,UIO,IBA,2025-07-12 07:30:00,2025-07-12 13:00:00,B787,On Time,D28,2025-07-12,schedule,scheduled,330.0
F83953,F8,TOE,NBE,2025-07-12 10:45:00,2025-07-12 14:15:00,B787,Cancelled,B3,2025-07-12,schedule,scheduled,210.0
JL4571,JL,SCY,TUU,2025-07-12 09:30:00,2025-07-12 12:45:00,A350,On Time,B7,2025-07-12,schedule,scheduled,195.0
IX6403,IX,TNN,YWG,2025-07-12 06:00:00,2025-07-12 10:30:00,B737,On Time,B27,2025-07-12,schedule,scheduled,270.0
VN3920,VN,CPT,CGH,2025-07-12 18:00:00,2025-07-12 23:30:00,A350,Delayed,A39,2025-07-12,schedule,scheduled,330.0
G36875,G3,ESB,GMP,2025-07-12 08:45:00,2025-07-12 14:15:00,B737,On Time,D50,2025-07-12,schedule,scheduled,330.0
LX6049,LX,CYI,HND,2025-07-12 08:45:00,2025-07-12 10:30:00,A320,Cancelled,D40,2025-07-12,schedule,scheduled,105.0
SN3711,SN,CUZ,KHH,2025-07-12 17:30:00,2025-07-12 19:30:00,B777,Cancelled,A43,2025-07-12,schedule,scheduled,120.0
LA7484,LA,CDG,BUD,2025-07-12 10:30:00,2025-07-12 16:00:00,B777,Delayed,C35,2025-07-12,schedule,scheduled,330.0
AC5379,AC,DTW,CJC,2025-07-12 08:30:00,2025-07-12 09:30:00,A320,Scheduled,B2,2025-07-12,schedule,scheduled,60.0
P59039,P5,TCP,MIA,2025-07-13 00:00:00,2025-07-13 03:45:00,A350,On Time,A1,2025-07-12,schedule,scheduled,225.0
CX6561,CX,BGA,VOG,2025-07-12 07:15:00,2025-07-12 11:00:00,B777,Delayed,D6,2025-07-12,schedule,scheduled,225.0
FJ6772,FJ,SFS,REC,2025-07-12 13:15:00,2025-07-12 16:00:00,A350,Delayed,B19,2025-07-12,schedule,scheduled,165.0
MS2488,MS,BUD,RPN,2025-07-12 12:45:00,2025-07-12 18:30:00,B787,Delayed,C6,2025-07-12,schedule,scheduled,345.0
AI2792,AI,YOW,HKG,2025-07-13 00:15:00,2025-07-13 07:00:00,B737,Scheduled,A28,2025-07-12,schedule,scheduled,405.0
RJ3054,RJ,USN,OTP,2025-07-12 17:45:00,2025-07-12 21:30:00,A350,Delayed,B1,2025-07-12,schedule,scheduled,225.0
P51396,P5,RSU,OCC,2025-07-12 21:30:00,2025-07-13 00:15:00,B777,Scheduled,B47,2025-07-12,schedule,scheduled,165.0
QR7139,QR,SFA,DFW,2025-07-12 09:15:00,2025-07-12 12:15:00,B787,On Time,C15,2025-07-12,schedule,scheduled,180.0
SB1202,SB,ZAL,OOL,2025-07-12 07:45:00,2025-07-12 14:30:00,B777,Delayed,C11,2025-07-12,schedule,scheduled,405.0
PC5117,PC,EJA,PEK,2025-07-12 14:00:00,2025-07-12 17:30:00,B777,Cancelled,D30,2025-07-12,schedule,scheduled,210.0
AV2763,AV,HRG,EZE,2025-07-12 16:45:00,2025-07-12 20:45:00,B737,Delayed,A4,2025-07-12,schedule,scheduled,240.0
LH6766,LH,DRW,KMI,2025-07-12 21:45:00,2025-07-13 02:15:00,B737,On Time,C28,2025-07-12,schedule,scheduled,270.0
DL8638,DL,NQN,BOG,2025-07-12 13:15:00,2025-07-12 14:45:00,B777,Scheduled,A21,2025-07-12,schedule,scheduled,90.0
FZ2657,FZ,JRS,HRG,2025-07-12 11:30:00,2025-07-12 17:30:00,B777,Delayed,D26,2025-07-12,schedule,scheduled,360.0
MS6810,MS,MSP,HDS,2025-07-12 12:45:00,2025-07-12 16:15:00,B737,Delayed,A39,2025-07-12,schedule,scheduled,210.0
BT8913,BT,LIS,CHM,2025-07-12 13:00:00,2025-07-12 17:45:00,B787,On Time,B5,2025-07-12,schedule,scheduled,285.0
MS1343,MS,RMF,TOE,2025-07-12 13:00:00,2025-07-12 19:00:00,B777,On Time,B38,2025-07-12,schedule,scheduled,360.0
TG490,TG,FTE,SVO,2025-07-12 19:00:00,2025-07-13 01:30:00,A350,Scheduled,C45,2025-07-12,schedule,scheduled,390.0
DT1140,DT,DME,JED,2025-07-12 09:15:00,2025-07-12 11:00:00,B737,On Time,A5,2025-07-12,schedule,scheduled,105.0
FJ3794,FJ,SLL,FOR,2025-07-12 12:15:00,2025-07-12 13:45:00,B777,Scheduled,B22,2025-07-12,schedule,scheduled,90.0
GA1519,GA,CRK,AMM,2025-07-12 12:00:00,2025-07-12 13:45:00,A320,On Time,D44,2025-07-12,schedule,scheduled,105.0
TT5198,TT,GAE,FUK,2025-07-12 18:45:00,2025-07-12 22:30:00,A320,Scheduled,A50,2025-07-12,schedule,scheduled,225.0
I59614,I5,USN,IFN,2025-07-12 10:00:00,2025-07-12 11:30:00,A320,Cancelled,B16,2025-07-12,schedule,scheduled,90.0
AA7582,AA,SEA,MCO,2025-07-12 16:00:00,2025-07-12 20:15:00,A350,On Time,D6,2025-07-12,schedule,scheduled,255.0
FD3690,FD,BOM,TNN,2025-07-12 08:45:00,2025-07-12 15:00:00,A320,On Time,D44,2025-07-12,schedule,scheduled,375.0
AC2857,AC,XMS,OSM,2025-07-12 08:45:00,2025-07-12 12:15:00,A320,On Time,B44,2025-07-12,schedule,scheduled,210.0
AS6434,AS,LHR,BJV,2025-07-12 17:15:00,2025-07-12 23:30:00,A320,On Time,B8,2025-07-12,schedule,scheduled,375.0
BL2946,BL,ATF,ROT,2025-07-12 17:45:00,2025-07-12 23:30:00,B777,Cancelled,A47,2025-07-12,schedule,scheduled,345.0
SA4314,SA,LIM,ESB,2025-07-12 21:00:00,2025-07-12 23:00:00,A350,Scheduled,A47,2025-07-12,schedule,scheduled,120.0
EY1977,EY,LTX,GPS,2025-07-12 12:45:00,2025-07-12 15:30:00,B787,On Time,C1,2025-07-12,schedule,scheduled,165.0
IX2952,IX,AMM,CNX,2025-07-13 00:15:00,2025-07-13 02:30:00,B787,Cancelled,B18,2025-07-12,schedule,scheduled,135.0
6E7245,6E,NGO,KIX,2025-07-13 00:00:00,2025-07-13 04:45:00,B777,Delayed,B45,2025-07-12,schedule,scheduled,285.0
ZX9062,ZX,GMB,BOG,2025-07-12 18:00:00,2025-07-12 20:30:00,B777,Delayed,B43,2025-07-12,schedule,scheduled,150.0
TG3970,TG,FEZ,LLI,2025-07-12 10:45:00,2025-07-12 14:30:00,A350,Delayed,A33,2025-07-12,schedule,scheduled,225.0
LX8683,LX,MEX,GRJ,2025-07-12 11:45:00,2025-07-12 14:45:00,B737,Delayed,B48,2025-07-12,schedule,scheduled,180.0
AD6888,AD,MLX,SVO,2025-07-13 00:15:00,2025-07-13 06:30:00,B737,On Time,A5,2025-07-12,schedule,scheduled,375.0
AA6944,AA,MTZ,DIR,2025-07-12 10:45:00,2025-07-12 16:30:00,B737,Scheduled,C39,2025-07-12,schedule,scheduled,345.0
G44678,G4,TPE,OGL,2025-07-12 13:15:00,2025-07-12 19:45:00,B787,Scheduled,A31,2025-07-12,schedule,scheduled,390.0
SQ9367,SQ,ESB,AWA,2025-07-12 12:45:00,2025-07-12 15:00:00,A350,On Time,C26,2025-07-12,schedule,scheduled,135.0
